TCP,00 01 00 00
TCP,00 00 64 1C 01 00 00
TCP,08 00 45
TCP,00 00
TCP,1C 3E 96 09 00 08
TCP,1C 96 02 00 08
TCP,00 00 FF FF 54 00 69 00 6D 00 65 00 73 00 20 00 4E 00 65 00 77 00 20 00
TCP,00 00 0C 00
TCP,FF FF
TCP,3D 22
TCP,22 3B 20
TCP,31 FF FF FF
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,8B 4E 04 33 D2 83 C8 FF 53 8B 59 08 F7 F3
TCP,85 B2 04 77 CE 38 E0 33
UDP,00 00 00 00 00 00 00 00
UDP,00 00 00 01 00 00 00 01
UDP,01 01 04 01
UDP,45 54 56 48 01 01 10 09 00 00 00 01 00 00 00 44
UDP,9C 5C E5 61
TCP,D4 C3 B2 A1 02 00 04 00
TCP,00 80
TCP,27 46
TCP,02 80
TCP,05 00 0B
TCP,00 01 00 00 00
TCP,03 00 0F
TCP,02 28
TCP,0D 0A 0D 0A 96 84 84 92 85 83 88 98 9C F6
TCP,53 00 00 00
TCP,00 00 00
TCP,12 01
TCP,03 00
TCP,00 06
TCP,00 00 00 20 00
TCP,20 00
TCP,00 00
TCP,EF 01 04 00 0A
TCP,4A 01 00 80 01 D5
TCP,1C 96 05 00 07 01 00 00 00 43 3C 96 02 00 08
TCP,96 06 00 08
TCP,1C 96 07 00 07 01 00 00 00 08
TCP,1C 96 02 00 08
TCP,1C 96 05 00 07 01 00 00 00 43 1D 96 02 00 08
TCP,96 06 00 08
TCP,1C 96 07 00 07 01 00 00 00 08
TCP,0D 0A
TCP,FF FE
TCP,03 A9 00 00
TCP,01 00 04 04
TCP,00 01 04 00 00 00 01
TCP,18 03 00
TCP,16 03 01
TCP,03 03
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,FE FF
TCP,A9 03 00 00
TCP,3D 31 26
TCP,3D 31 26
TCP,00 00 00 01 00 00 00
TCP,01 00 00 00 68 01 00 00
TCP,FF 4F FF 51
UDP,E3 0C
UDP,00 00 00 00 A0 0F 00
TCP,55 8B EC 6A FF 68
TCP,00 A2 01
TCP,A2 01
TCP,15 05 00 00
TCP,11460
TCP,05 00
TCP,39 00 00
TCP,00 00
TCP,03 00 17
TCP,02 40
TCP,96 0B 00 04 05 07 03 00 00 00 04 04 08 19
TCP,96 04 00 04 05 08 11
TCP,03 00 00 00 FF FF 00 00
TCP,00 00 00 00 E8 03 00 00 FF FF 00 00
TCP,C4 DA CD F8
TCP,BC C6 CB E3 BB FA C3 FB 3A
TCP,55 04 03 13 1E
TCP,01 00 00 00
TCP,4C 00 00 00
TCP,28 00 00 00
TCP,08 00
TCP,0E 00 00 00
TCP,00 2A
TCP,01 01 00 03 00 00 00 01
TCP,2A 00
TCP,01 01 03 00 01 00 00 00
TCP,0D 0A
TCP,96 14 00 00
TCP,00 52 17 96 09 00 00
TCP,FE FF
TCP,03 A9 00 00
TCP,BC 6C
TCP,0D 0A
TCP,00 2A
TCP,01 01 00 03 00 00 00 01
TCP,00 00 00 0C 6A 50 20 20
TCP,60 2E 72 64 61 74 61 00 00 0A 13 00 00 00 50 00 00 00 20 00 00 00 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 40 2E 64 61 74 61 00 00
TCP,3A 20
TCP,3A 20
TCP,0D 0A
TCP,3A 20 3C
TCP,0D C9 08 00
TCP,00 00
TCP,00 00 78
TCP,2C 05 42 01
TCP,05 00 00 00
TCP,03 00 00 A0
TCP,00 00 00 05 00 00
TCP,00 00 00 01 00 00 00 01 00 00 00 03
TCP,03 04
TCP,6F 64 FA C9 80 66 C2 14 5B A3 20 6D CD 15 88 F6
TCP,32 05 00 00
TCP,3A 20
TCP,18 03 02
UDP,17 17 17 17 17 17 17 17
TCP,9000
UDP,06 80 00 00 00 00 00 00 00 00
UDP,00 00 00 00 00 00 00 00
TCP,CF CF
TCP,FF FF D0
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,00 00
TCP,00 20 00
TCP,0D 0A
TCP,3A 20 0D 0A
TCP,C2 E5 E5 E5 9E DC DD A1 DC D0 DD A3 A6 C8 A1 D5 A4 D7 C8 D1 83 D4 86 C8 A7 DD D1 D4 C8 D7 D6 D7 A4 A7 D6 D0 D2 A0 D2 A6 DD 98 E5
TCP,20 2A 20 30 20 3A
TCP,01 12
TCP,00 03
UDP,18 03 03
TCP,C7 40 08 00 04 00 00
TCP,D2 24 00 61
TCP,D2 D1 4F
TCP,01 D2 24 00 61
TCP,00 08
TCP,40 3C
TCP,00 08
TCP,1C 96
TCP,B0 B2 FC
TCP,FC A0 A6 FC
TCP,21 43 34 12
TCP,8B 8D DA 58
TCP,2F 7C
TCP,700
TCP,7C 5B
TCP,EB 00
TCP,68 57 24 13
UDP,84 A1 76 01 A1 63 C4 14
TCP,55 04 08 0C 0E
TCP,00 01 00 00
TCP,3B 20
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,74 01 00 00
TCP,3A 20
TCP,0D 0A
UDP,85 00
UDP,137
TCP,5D 01
TCP,17 03 00
TCP,25 80 10 61 04
TCP,17 01 04 00 01 00 00 00
TCP,06 07 2A 86 48 CE 38 04 01
TCP,16 03
TCP,5B 6F 58 4E 1E E9 84 7B F2 43 A7 00 02 D9 9E 1A 55 63 F6 27 8D 34 6F A4 D2 77 8D 9B B3 E8 44 67
TCP,FF 12
TCP,18 03 01
TCP,16 03 01
TCP,03 00 11
TCP,02 28
TCP,FB 27 68 DE 2D D6 BF E0 AC BF B5 82 78 7B 5C F0
TCP,AE 6E 3C CD EE AE BF 33 F5 0F 58 D5 2D 74 3D 2A
TCP,68 00 74 00 74 00 70 00 3A 00 2F 00 2F 00
TCP,00 2E 00 78 00 6D 00 6C 00 00 00
TCP,00 01 00 01 00 00 00 00
TCP,00 10 00 01 00 00 00
TCP,2A 00
TCP,01 01 04 00 01 00 00 00
TCP,91 70 00 00 00 00 00 00 00 00 00 00
TCP,16 03
TCP,30 82
TCP,4A 0A 00 80
TCP,0D 0A
TCP,22 A4
TCP,16 03
TCP,3E 00
TCP,00 20 00
TCP,55 04 0A 0C 03
TCP,55 04 08 0C 06
TCP,75 00 00 00 00
UDP,00 00 00
TCP,3F 03
TCP,1C 96 05 00 07 01 00 00 00 43 3C
TCP,06 07 2A 86 48 CE 3D 02 01 06 08 2A 86 48 CE 3D 03 01 07
TCP,16 03
TCP,96 04 00 04 00 08 03 1C 69 96 04 00 04 00 08 04
TCP,96 02 00 08 0B
TCP,96 02 00 08 10
TCP,3E 0D 0A 3C
TCP,3E 0D 0A 3C
TCP,3D 22
TCP,DC 01
TCP,03 00 00 A4
TCP,03 00 00 A4
TCP,3B 20
TCP,3B 20
TCP,3B 20
TCP,3B 20
TCP,3B 20
TCP,3B 20
TCP,6A 01 68 EC BF EB 0A 8B
TCP,50 FF
TCP,50 68 E6 22 69 F9 68 00 10 00 00 68 3B 1C 7B AA 8B
TCP,51 68 FF FF FF 7F 6A 00 8B
TCP,29 D0 66 05
TCP,18 03 02
TCP,96 F4 F6 F6
TCP,FE F6 F0 F6
TCP,06 07 2A 86 48 CE 3D 02 01
TCP,16 03
TCP,E5 AA C0 31
TCP,75 FD 41 63 B2 CF 01 E3 02 89 60 63 B2 CF 01 E3
TCP,22 3A
TCP,22 3A
TCP,22 3A
TCP,22 3A
TCP,96 24 00 08 09 07 04 00 00 00 07 03 00 00 00 07 02 00 00 00 07 01 00 00 00 07 01 00 00 00 08 00 07 06 00 00 00 08 02 3D
TCP,4E 96 02 00 08 02
TCP,AC ED 00 05
TCP,00 00 00 02 00 00 00 01 00 00 00 05
TCP,1C 96 02 00 08
TCP,00 00 00 00
TCP,0D 0A
TCP,00 00 00 00 11 01 00 00 01 00 00 00
TCP,FE FF 00 32 00 00 00 20
TCP,00 34 00 32 00 00 00 20
TCP,00 5C 00 2E 00 2E 00 5C
TCP,03 01
TCP,5C 00
TCP,A1 03 02 01 05 A2 03 02 01 0A
TCP,A7 06 02 04
TCP,22 3B
TCP,16 03
TCP,30 82
UDP,2B 06 01 04 01 5F
TCP,0D 0A
TCP,50 4B 03 04
TCP,7E 7E
TCP,7E 7E 7E
TCP,28 22 25
TCP,3D 3D
TCP,3A 5C 5C
TCP,00 12 00 00 00
TCP,20 0A
TCP,03 04
TCP,A1 01 00 00
TCP,F8 B4 92 8B B3 0C 88 45 5E 8E C4 E2 43 10 CE C4 8A D8 8B C3 85 4C EA 3F 24 12 F8 85 97 1F D2 38
TCP,53 00 65 00 6E 00 64 00 45 00 6D 00 61 00 69 00 6C 00 2E 00 64 00 6C 00 6C 00 00 00
TCP,2E 00 69 00 71 00 00 00
TCP,2E 00 69 00 71 00 00 00
TCP,4E 96 05 00 07 01 00 00 00 43 87 01 00 04 17 96 08 00 04
TCP,4E 4F 96 08 00 04
TCP,4E 4F 96 0D 00 04
TCP,94 00 00 00
TCP,46 00 00 00 44 02 00 00 38 02 00 00
TCP,32 00
TCP,00 2E 2E 5C 2E 2E 5C
TCP,3B 20
TCP,02 00 00 00
TCP,11 11 11 11 00 00 00 00
TCP,01 00 00 00
TCP,00 00 00 00
TCP,3B 29
TCP,01 00 06
TCP,01 00
TCP,0D 01 D0 66 06 60 02 66 0E D0 66 0B 4F 0F 02 D0
TCP,06 03 55 1D 1E 04
TCP,25 F8 07
TCP,25 F8 07
TCP,25 F8 07
TCP,00 20 00
TCP,00 22 00 3E 00
TCP,00 2E 00
TCP,16 03 01
TCP,03 01
TCP,0D 0A 0D 0A
TCP,B8 1D 11 00 00 BA 00 03 FE 7F
TCP,B8 FD 10 00 00 BA 00 03 FE 7F
TCP,3D 22
TCP,3D 22
TCP,0D 0A
TCP,0D 0A
TCP,17 03 03
TCP,68 57 24 13
TCP,BF 14
TCP,0D 0A
TCP,0D 0A
TCP,FE FF
TCP,91 03 00 00
TCP,21 F9 04
TCP,2A 00
TCP,06 01 03 00 01 00 00 00 02 00
TCP,1C 01 03 00 01 00 00 00 01 00
TCP,40 00
TCP,0B 00
TCP,CC 00 00 00 00 00 00 00
TCP,00 00 00 00
TCP,01 00 06
TCP,01 00
TCP,06 07 2A 86 48 CE 3D 02 01 06 05 2B 81 04 00 23
TCP,16 03
TCP,00 00 9B 4F
TCP,00 00
TCP,00 00 00 01 00 00 00 01 00 00 00 02
TCP,20 4A
TCP,71 74 B6 B6 B6 B6 B6 B6 B6 B6 B6 B6
TCP,67 8D 90 D6
TCP,B6 B6 FF FF FF FF
TCP,21 43 34 12
TCP,00 36 D8 F4
TCP,7B 22 64 22 3A 7B 22 62 22 3A 22
TCP,5C 5C
TCP,22 3A 22
TCP,22 3A 22
TCP,11 76 90 09 00 09 00 00 00
TCP,00 00 01 B3
TCP,68 00 74 00 74 00 70 00 3A 00 2F 00 2F 00
TCP,32 02 00 00 C0
TCP,52 00 00 00 00
TCP,0D 0A
TCP,3A 20
TCP,CE 04 00 00
TCP,6A 20 0F 43 45
TCP,96 23 00 06
TCP,1C 96 02 00 08
TCP,4E 96 02 00 08
TCP,53 87 01 00
TCP,4E 0F 42 07 27
TCP,0D 0A 0D 0A
TCP,8E 08 00 00 00 00 02 29 00
TCP,96 02 00 08
TCP,1C 96 02 00 08
TCP,4E 96 05 00 07
TCP,00 07
TCP,00 07
TCP,00 07
TCP,00 08
TCP,1C 96 02 00 08
TCP,52 96 02 00 08
TCP,52 17 96 05 00 07
TCP,43 87 01 00
TCP,96 09 00 04
TCP,FE FF
TCP,91 03 00 00
TCP,18 03 03
TCP,0D 0A
TCP,0D 0A 0D 0A
TCP,6A 00 6A 00 6A 00 6A 00 6A 17 6A 32 6A 0B 68 F8 00 00 00 68 00 00 50 CC
TCP,C7 45
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,5050
TCP,332
TCP,C2 E5 E5 E5 9E A0 D7 A4 A6 D0 D5 DD DC C8 D6 DD D7 D5 C8 D1 D6 83 80 C8 DD A4 D1 A1 C8 A4 D2 D5 D7 DD A3 A4 A1 DD A6 D7 DD 98 E5
TCP,BF 03
TCP,01 00 8F
TCP,43 4F 96 04 00
TCP,00 00 00 00 00 00 00 00 64 00 00 00 00 00 00 00
TCP,00 00
TCP,69 00 00 00 28 28
TCP,29 5B
TCP,5D 7B
TCP,13 08
TCP,00 00
TCP,2E 00
TCP,00 2E 00
TCP,55 04 03
TCP,3A 20
TCP,3A 20
TCP,0D 0A
TCP,3A 20
TCP,0D 0A
TCP,3A 20
TCP,0D 0A
TCP,3A 20
TCP,0D 0A
TCP,40 00
TCP,0B 00
TCP,D0 00 00 00 00 00 00 00
TCP,00 00 00 00
TCP,01 02 00 00 00 00 00 04 02 00 00 00 00 00 00 00 02
TCP,0D 0A
TCP,0D 0A
TCP,07 00
TCP,01 CD 87 F4 51 A9 CF 11 8E E6 00 C0 0C
TCP,3A 20
TCP,0D 0A
TCP,3A 20
TCP,0D 0A
TCP,3A 20
TCP,61456
TCP,0D 0A
TCP,3A 20
TCP,0D 0A
TCP,3A 20
TCP,18 00
TCP,00 00 00 00
TCP,8D F3 75 EA DC
TCP,FF 0E
TCP,07 01 00 00 00 43 87 01 00
TCP,3A 20
TCP,3A 20
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,00 00 00
TCP,62 05 66 01 25 FF 01 A8 62 06 C5 25 FF 01 A8 63 06
TCP,4A 01 00 80 01 D5
UDP,16 FE FF
UDP,FE FF
TCP,A1 F4
TCP,A1 F4
TCP,22 3B
TCP,0D 0A
TCP,00 08
TCP,42 4D
TCP,28 00 00 00
TCP,01 00 04 00
TCP,20 3A 03
TCP,20 03
TCP,0D 0A
TCP,3A 20
TCP,0D 0A
TCP,3B 20
TCP,FF 15 34 F2 45 00
TCP,FF 15 30 F2 45 00
TCP,FF 15 38 F0 45 00
TCP,FF 15 34 F0 45 00
TCP,FF 15 30 F0 45 00
TCP,FF 15 40 F0 45 00
TCP,61 00 7A 00 72 00 61 00 66 00
TCP,00 00 00 00 24 00 00 00 00 00 00 00
TCP,18 03 01
TCP,10 00 08 01
TCP,01 01
TCP,00 00 00
TCP,9E 08
UDP,00 00 00 00 00 00 00 00
UDP,00 00 00 01 00 00 00 01
UDP,01 01 04 01
TCP,01 68
TCP,D0 66
TCP,D0 66
TCP,00 D0
TCP,AC ED 00 05
TCP,00 0C
TCP,70 74 00 07
TCP,42 4D
TCP,6C 00 00 00
TCP,01 00 04 00
TCP,16 03
TCP,00 C4 67 9A 04 97 41 EF 47
TCP,11 04 6F 24 00 00 0A 07 72 EE 01 00 70 28 0F 00 00 06 0A 00
TCP,9D 13 00 01
UDP,00 01 00 01 00 00 00 00
TCP,27 20
TCP,27 20
TCP,27 20
TCP,3A 20
TCP,3B 20
TCP,3A 20 2D
TCP,3B 20
TCP,3A 20 2D
TCP,3B 20
TCP,3A 20
TCP,3B 27 3E 3C 2F
TCP,3F 03
TCP,1C 96 05 00 07 02 00 00 00 43 3C
TCP,96 06 00 08
TCP,07 00
TCP,00 00 A8 01 00 00 78 9C
TCP,4F 06 01 5D 07 4A 07 00 80 07
TCP,61 08 5D 09
TCP,96 05 00 07 00 00 00 40
TCP,96 05 00 07 00 00 00 20
TCP,96 04 00 04 04 04 04 47 87 01 00 04
TCP,68 00
TCP,00 00 00
TCP,0D 0A 1A 0A
TCP,01 00
TCP,00 00 00
TCP,00 00 00 00 00
TCP,01 00 07
TCP,00 21
TCP,C7 06 01 00 34 12
TCP,2A 00
TCP,01 01 03 00 01 00 00 00
UDP,00 00
TCP,01 00
TCP,177
TCP,105
TCP,0D 0A
TCP,0D 0A
TCP,01 01
TCP,C2 E5 E5 E5 9E DD A4 A3 D4 A6 D4 D3 D1 C8 A0 A7 A1 D3 C8 D1 87 D7 87 C8 A7 A6 D4 A3 C8 D3 D1 D3 D2 D1 A0 DC DD A4 D2 D4 D5 98 E5
TCP,29 20
TCP,3F 05
TCP,01 00 06
TCP,01 00
TCP,0E 08 44 13 30 30 30 30 30 30
TCP,24 00 61
TCP,24 64 2C
TCP,27 24 02 4F
TCP,27 24 02 4F
TCP,30 5A 00 2A
TCP,2A 30 2B 6D 01
TCP,28 22
TCP,73 00 00 00 00
TCP,00 00
TCP,00 03 00 00 00
TCP,5C 56 4D 57 2D 58 50 53 50 32 45 4E 5C 63 24 5C 44 6F 63 75 6D 65 6E 74 73 20 61 6E 64 20 53 65 74 74 69 6E 67 73 5C 70 6F 73 74 6F 5C 44 65 73 6B 74 6F 70 5C 50 6F 43 5C 53 65 74 75 70 52 65
TCP,4F 8E
TCP,00 00 00 00
TCP,00 08
TCP,1C 96
TCP,07 00 00 00
TCP,00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 01 00 00 00 0E 00 00 00 0A 0F 10 11 1B 2E
TCP,B0 00 00 00
TCP,00 00 00 70 2C 53 9D
TCP,00 00 00 20 00
TCP,20 00
TCP,00 00
TCP,00 00 00 20 00
TCP,20 00
TCP,00 00
TCP,C2 E5 E5 E5 9E D2 DD D6 A0 A4 A6 A7 A3 C8 A0 A3 DD A7 C8 D1 DC DD 80 C8 A4 D5 D0 DC C8 A3 D5 A7 D0 A7 A1 D4 D7 D3 D1 D4 A0 98 E5
TCP,24 00 61
TCP,24 64 2C
TCP,27 24 02 46
TCP,27 24 02 46
TCP,30 5A 00 2A
TCP,2A 30 2B 6D 01
TCP,7B 5C
TCP,16 03
TCP,00 8F 77 DF 9C F4 D2 43 19
TCP,3E 3C
TCP,3E 3C
TCP,3E 3C
TCP,3E 3C
TCP,80 02
TCP,5D 01 4A 01 00 80 01
TCP,80 02
TCP,07 03 00 00 00 08
TCP,1C 96 02 00 08
TCP,52 17 96
TCP,07 02 00 00 00 08
TCP,03 00 16
TCP,02 40
TCP,3A 2F 2F
TCP,3A 5C
TCP,05 00
TCP,0D 0A
TCP,3A 20
TCP,83 7D E4 FC
TCP,68 88 00 00 00
TCP,3C 9B 05 00 00 00 00 00 00 9B 05 00 00 00 00
TCP,96 0B 00 06 00 00 00 00 00 00 00 00 08
TCP,1C 96 02 00 08
TCP,21 00
TCP,21 20 22
UDP,E3 0C
UDP,00 00 00 00 A0 0F 00
TCP,A1 AD A4 E2 E7 AE CA D0 72 C5 F2 D0 87 D7 B5
TCP,FF FF FF FF FF FF 00 00 FE FF FF FF FF FF FF FF FF FF 88 FF
TCP,01 00
TCP,3B 0A
TCP,36 00 00 00 C7 05
TCP,2C 00 00 00 C7 05
TCP,40 00 00 00 C7 05
TCP,D8 D8 D8 D8 37 27 27 26
TCP,27 27 27 27 27 27 27 27
TCP,19 83 19 84 00 00 00 01 00 00
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,68 00 04 00 00
TCP,68 00 04 00 00
TCP,52 68 02 04 39 00
TCP,6000
TCP,0D 0A
TCP,AC ED 00 05
TCP,25 FF 01 15 CB FF FF
TCP,25 FF 01
TCP,E5 AA C0 31 A9 BF DC CB 31 5B
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,0D 0A
TCP,32 00 00 00 00
TCP,41 00
TCP,0E 00 0D 00 00 00 00 00 00 00 00 00 00 00 00 00 00
TCP,0D 0A
TCP,28 22
TCP,22 29
TCP,28 22
TCP,75 00 00 00 00
TCP,00 00 00
TCP,5C 5C 2E 5C
TCP,4A 02 00
TCP,4F 08 01
TCP,4F 08 01
TCP,4F 08 01
TCP,4F 08 01
TCP,4F 08 01
TCP,64 A1 18 00 00 00 83 C0 08 8B 20 81 C4 30 F8 FF FF
TCP,20171
UDP,9C 9C 9C 9C 9C 9C 9C 9C 9C 9C 9C 9C 9C 9C 9C 9C 9C 9C 9C
TCP,1C 4E 25 96 02 00 08
TCP,53 3C 96 02 00 08
TCP,40 00 00 00 00 D2 49 6B 00 00 00 00 40 00 00 00 00 4C 10 5F 20 E3 C6 01 40 00 00 00 00 1E 5A CA 20 E3 C6 01
TCP,FE FF 00 00
TCP,3A 20
TCP,1A 27 00 00
TCP,96 04 00 04 04 08 07
TCP,96 04 00 04 04 08 07
TCP,29 0D 0A
TCP,01 00 07
TCP,00 21
TCP,78 9F 3E 22
TCP,32 00 00 00 00
TCP,42 00
TCP,0E 00
TCP,00 00
TCP,3C 64 69 76 20 69 64 3D 22 64 69 76 31 61 22 20 73 74 79 6C 65 3D 22 68 65 69 67 68 74 3A 32 30 30 30 70 78 22 3E 26 6E 62 73 70 3B 3C 2F 64 69 76 3E
TCP,02 00 00 00 0C
TCP,5C 5C
TCP,96 02 00 08 07
TCP,2A 00
TCP,01 01 03 00 01 00 00 00
TCP,2E 00 00 00 83 13 14 6E 5B 4F 77 29
TCP,2F 00 00 00 00
TCP,00 00 00 00 00 00 00 00 00 00
TCP,FF 00
TCP,04 00
UDP,01 10 00 01
UDP,00 00 20 00 01
TCP,02 00 00 00 01 00 01 00
TCP,3B 20
TCP,2A 2F
TCP,FF FF FF 80 7F 65 82
UDP,06 00 FF 07 06 10 00 00 00 00 00 00 00 00
UDP,00 00 00 00
UDP,00 00 00 08 00
TCP,05 C4 89 84 24 70 1A 30 5B 82 44 8D 79 22 75 04 67 09 4E 33 7B
TCP,C4 02 00 00
TCP,00 00 00 00
TCP,10 00
TCP,40 3C 96 02 00 08
TCP,1C 96 02 00 08
TCP,21 43 34 12
TCP,B1 3C C1 6A
TCP,02 00 08
